1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, LA)","GE RUNOFF ELECTION % (GA, LA)",COMBINED GE PARTY TOTALS (when applicable),COMBINED % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,AL,Alabama,S,S0AL00230,,Tommy,Tuberville,"Tuberville, Tommy",,R,"239,616",33.39%,"334,675",60.73%,"1,392,076",60.10%,,,,,W,W,,,
4,AL,Alabama,S,S6AL00195,,Jeff,Sessions,"Sessions, Jeff",,R,"227,088",31.64%,"216,452",39.27%,,,,,,,,,,,
5,AL,Alabama,S,S0AL00206,,Bradley,Byrne,"Byrne, Bradley",,R,"178,627",24.89%,,,,,,,,,,,,,
6,AL,Alabama,S,S0AL00297,,Roy,Moore,"Moore, Roy",,R,"51,377",7.16%,,,,,,,,,,,,,
7,AL,Alabama,S,S0AL00321,,Ruth Page,Nelson,"Nelson, Ruth Page",,R,"7,200",1.00%,,,,,,,,,,,,,
8,AL,Alabama,S,S0AL00263,,Arnold,Mooney,"Mooney, Arnold",,R,"7,149",1.00%,,,,,,,,,,,,,
9,AL,Alabama,S,S0AL00248,,Stanley,Adair,"Adair, Stanley",,R,"6,608",0.92%,,,,,,,,,,,,,
10,AL,Alabama,S,n/a,,,,,Party Votes:,R,"717,665",,"551,127",,,,,,,,,,,,
11,AL,Alabama,S,S0AL00156,(I),Doug,Jones,"Jones, Doug",,D,Unopposed,,,,"920,478",39.74%,,,,,W,,,,
12,AL,Alabama,S,n/a,,,Scattered,Scattered,,W,,,,,"3,891",0.17%,,,,,,,,,
13,AL,Alabama,S,n/a,,,,,Total State Votes:,,"717,665",,"551,127",,"2,316,445",,,,,,,,,,
14,,,,n/a,,,,,,,,,,,,,,,,,,,,,
15,AK,Alaska,S,S4AK00214,(I),Dan,Sullivan,"Sullivan, Dan",,R,"65,257",100.00%,,,"191,112",53.90%,,,,,W,W,,,
16,AK,Alaska,S,n/a,,,,,Party Votes:,R,"65,257",,,,,,,,,,,,,,
17,AK,Alaska,S,S0AK00196,,Al,Gross,"Gross, Al",,N(D)/D,"50,047",85.55%,,,"146,068",41.19%,,,,,W,,*  N(D) = Nonpartisan (Democratic Primary).  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.,,
18,AK,Alaska,S,S6AK00177,,Edgar,Blatchford,"Blatchford, Edgar",,D,"5,463",9.34%,,,,,,,,,,,,,
19,AK,Alaska,S,S0AK00212,,Chris C.,Cumings,"Cumings, Chris C.",,N(D),"2,989",5.11%,,,,,,,,,,,*  N(D) = Nonpartisan (Democratic Primary).  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.,,
