1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AL,Alabama,01,H0AL01055,,Jerry,Carl,"Carl, Jerry",,R,"38,490",38.70%,"44,421",52.28%,"211,825",64.37%,,,,,W,W,,,,,,
4,AL,Alabama,01,H0AL01089,,Bill,Hightower,"Hightower, Bill",,R,"37,283",37.48%,"40,552",47.72%,,,,,,,,,,,,,,
5,AL,Alabama,01,H0AL01071,,Chris,Pringle,"Pringle, Chris",,R,"19,126",19.23%,,,,,,,,,,,,,,,,
6,AL,Alabama,01,H0AL01063,,Wes,Lambert,"Lambert, Wes",,R,"3,102",3.12%,,,,,,,,,,,,,,,,
7,AL,Alabama,01,H0AL01121,,John,Castorani,"Castorani, John",,R,"1,468",1.48%,,,,,,,,,,,,,,,,
8,AL,Alabama,01,n/a,,,,,Party Votes:,R,"99,469",,"84,973",,,,,,,,,,,,,,,
9,AL,Alabama,01,H0AL01097,,James,Averhart,"Averhart, James",,D,"21,022",40.35%,"15,840",56.69%,"116,949",35.54%,,,,,W,,,,,,,
10,AL,Alabama,01,H0AL01105,,Kiani A.,Gardner,"Gardner, Kiani A.",,D,"22,962",44.07%,"12,102",43.31%,,,,,,,,,,,,,,
11,AL,Alabama,01,H0AL01139,,Rick,Collins,"Collins, Rick",,D,"8,119",15.58%,,,,,,,,,,,,,,,,
12,AL,Alabama,01,n/a,,,,,Party Votes:,D,"52,103",,"27,942",,,,,,,,,,,,,,,
13,AL,Alabama,01,n/a,,,Scattered,Scattered,,W,,,,,301,0.09%,,,,,,,,,,,,
14,AL,Alabama,01,n/a,,,,,District Votes:,,"151,572",,"112,915",,"329,075",,,,,,,,,,,,,
15,AL,Alabama,02,H8AL02171,,Barry,Moore,"Moore, Barry",,R,"21,392",20.45%,"52,248",60.45%,"197,996",65.22%,,,,,W,W,,,,,,
16,AL,Alabama,02,H0AL02145,,Jeff,Coleman,"Coleman, Jeff",,R,"39,804",38.06%,"34,185",39.55%,,,,,,,,,,,,,,
17,AL,Alabama,02,H0AL02178,,Jessica,Taylor,"Taylor, Jessica",,R,"20,789",19.88%,,,,,,,,,,,,,,,,
18,AL,Alabama,02,H0AL02152,,Troy,King,"King, Troy",,R,"15,171",14.50%,,,,,,,,,,,,,,,,
19,AL,Alabama,02,H0AL02194,,Terri A.,Hasdorff,"Hasdorff, Terri A.",,R,"5,216",4.99%,,,,,,,,,,,,,,,,
20,AL,Alabama,02,H0AL02160,,"Thomas W., Jr.",Brown,"Brown, Thomas W., Jr.",,R,"1,395",1.33%,,,,,,,,,,,,,,,,
21,AL,Alabama,02,H6AL02159,,Bob,Rogers,"Rogers, Bob",,R,826,0.79%,,,,,,,,,,,,,,,,
22,AL,Alabama,02,n/a,,,,,Party Votes:,R,"104,593",,"86,433",,,,,,,,,,,,,,,
23,AL,Alabama,02,H0AL02202,,Phyllis,Harvey-Hall,"Harvey-Hall, Phyllis",,D,"27,399",59.18%,,,"105,286",34.68%,,,,,W,,,,,,,
24,AL,Alabama,02,H6AL02167,,Nathan,Mathis,"Mathis, Nathan",,D,"18,898",40.82%,,,,,,,,,,,,,,,,
25,AL,Alabama,02,n/a,,,,,Party Votes:,D,"46,297",,,,,,,,,,,,,,,,,
26,AL,Alabama,02,n/a,,,Scattered,Scattered,,W,,,,,287,0.09%,,,,,,,,,,,,
27,AL,Alabama,02,n/a,,,,,District Votes:,,"150,890",,"86,433",,"303,569",,,,,,,,,,,,,
28,AL,Alabama,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,Unopposed,,,,"217,384",67.46%,,,,,W,W,,,,,,
29,AL,Alabama,03,H8AL03062,,Adia,Winfrey,"Winfrey, Adia",,D,Unopposed,,,,"104,595",32.46%,,,,,W,,,,,,,
30,AL,Alabama,03,n/a,,,Scattered,Scattered,,W,,,,,255,0.08%,,,,,,,,,,,,
31,AL,Alabama,03,n/a,,,,,District Votes:,,,,,,"322,234",,,,,,,,,,,,,
32,AL,Alabama,04,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,"261,553",82.24%,,,,,W,W,,,,,,
33,AL,Alabama,04,H8AL04086,,Rick,Neighbors,"Neighbors, Rick",,D,Unopposed,,,,"56,237",17.68%,,,,,W,,,,,,,
34,AL,Alabama,04,n/a,,,Scattered,Scattered,,W,,,,,239,0.08%,,,,,,,,,,,,
