Appendix B:  1996-2020 Presidential General Election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranking by State of Popular Vote Percentages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Democratic Nominee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BIDEN 2020,,,,,,CLINTON 2016,,,,,OBAMA 2012,,,,,OBAMA 2008,,,,,KERRY 2004,,,,,GORE 2000,,,,,CLINTON 1996,,,
,STATE,,EV,%,,,STATE,,EV,%,,STATE,,EV,%,,STATE,,EV,%,,STATE,,EV,%,,STATE,,EV,%,,STATE,,EV,%
1,D.C.,W,3,92.15%,,1,D.C.,W,3,90.86%,,D.C.,W,3,90.91%,,D.C.,W, 3,92.46,,DC,W,3,89.18,,D.C.*,W,3,85.16,,D.C.,W,3,85.19
2,Vermont,W,3,66.09%,,2,Hawaii ****,W,3,62.22%,,Hawaii,W,4,70.55%,,Hawaii,W, 4,71.85,,Massachusetts,W,12,61.94,,Rhode Island,W,4,60.99,,Massachusetts,W,12,61.47
3,Massachusetts,W,11,65.60%,,3,California,W,55,61.73%,,Vermont,W,3,66.57%,,Vermont,W, 3,67.46,,Rhode Island,W,4,59.42,,New York,W,33,60.21,,Rhode Island,W,4,59.71
4,Maryland,W,10,65.36%,,4,Maryland,W,10,60.33%,,New York,W,29,63.35%,,New York,W, 31,62.88,,Vermont,W,3,58.94,,Massachusetts,W,12,59.8,,New York,W,33,59.47
5,Hawaii,W,4,63.73%,,5,Massachusetts,W,11,60.01%,,Rhode Island,W,4,62.70%,,Rhode Island,W, 4,62.86,,New York,W,31,58.37,,Maryland,W,10,56.57,,Hawaii,W,4,56.93
6,California,W,55,63.48%,,6,New York,W,29,59.01%,,Maryland,W,10,61.97%,,Delaware,W, 3,61.94,,Maryland,W,10,55.91,,New Jersey,W,15,56.12,,Illinois,W,22,54.31
7,New York,W,29,60.87%,,7,Vermont,W,3,56.68%,,Massachusetts,W,11,60.65%,,Maryland,W, 10,61.92,,Illinois,W,21,54.82,,Connecticut,W,8,55.91,,Maryland,W,10,54.25
8,Rhode Island,W,4,59.39%,,8,Illinois,W,20,55.83%,,California,W,55,60.24%,,Illinois,W, 21,61.92,,Connecticut,W,7,54.31,,Hawaii,W,4,55.79,,Arkansas,W,6,53.74
