1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES,GE RUNOFF ELECTION %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",SPECIAL PE/CONVENTION/RUNOFF WINNER INDICATOR,SPECIAL GE/RUNOFF WINNER INDICATOR,FOOTNOTES,"MEMBER WHOSE DEATH OR RESIGNATION CREATED THE VACANCY (""-"" indicates death)",
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,PA,Pennsylvania,12,H0PA12181,,Fred,Keller,"Keller, Fred",,R,*,,,,"90,000",68.02%,,,,,W,W,SPECIAL GENERAL ELECTION: 5/21/2019.,Thomas A. Marino (R),
4,PA,Pennsylvania,12,H8PA05204,,Marc,Friedenberg,"Friedenberg, Marc",,D,*,,,,"42,195",31.89%,,,,,W,,SPECIAL GENERAL ELECTION: 5/21/2019.,Thomas A. Marino (R),
5,PA,Pennsylvania,12,,,,Scattered,Scattered,,W,,,,,121,0.09%,,,,,,,SPECIAL GENERAL ELECTION: 5/21/2019.,Thomas A. Marino (R),
6,PA,Pennsylvania,12,,,,,,Total State Votes:,,,,,,"132,316",,,,,,,,SPECIAL GENERAL ELECTION: 5/21/2019.,Thomas A. Marino (R),
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,NC,North Carolina,03,H0NC03172 ,,Greg ,Murphy,"Murphy, Greg ",,R,"9,530",22.51%,"21,481",59.65%,"70,407",61.74%,,,,,W,W,SPECIAL PRIMARY ELECTION: 4/30/2019; SPECIAL RUNOFF ELECTION: 7/09/2019; SPECIAL GENERAL ELECTION: 9/10/2019.,"Walter B. Jones, Jr.(R)-",
9,NC,North Carolina,03,H0NC03222,,Joan,Perry,"Perry, Joan",,R,"6,536",15.44%,"14,530",40.35%,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019; SPECIAL RUNOFF ELECTION: 7/09/2019.,"Walter B. Jones, Jr.(R)-",
10,NC,North Carolina,03,H0NC03230,,Phil ,Shepard,"Shepard, Phil ",,R,"5,101",12.05%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
11,NC,North Carolina,03,H0NC03156 ,,Michael,Speciale,"Speciale, Michael",,R,"4,022",9.50%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
12,NC,North Carolina,03,H8NC03068 ,,Phil ,Law,"Law, Phil ",,R,"3,690",8.72%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
13,NC,North Carolina,03,H0NC03271,,Eric ,Rouse,"Rouse, Eric ",,R,"3,258",7.70%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
14,NC,North Carolina,03,H0NC03164,,Jeff,Moore,"Moore, Jeff",,R,"2,280",5.39%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
15,NC,North Carolina,03,H0NC03263,,Francis X.,De Luca,"De Luca, Francis X.",,R,"1,670",3.95%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
16,NC,North Carolina,03,H0NC03206 ,,Celeste,Cairns,"Cairns, Celeste",,R,"1,467",3.47%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
17,NC,North Carolina,03,H0NC03289,,"Chimer Davis, Jr.",Clark,"Clark, Chimer Davis, Jr.",,R,"1,092",2.58%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
18,NC,North Carolina,03,H0NC03131 ,,Michele,Nix,"Nix, Michele",,R,915,2.16%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
19,NC,North Carolina,03,H2NC13078,,Graham ,Boyd,"Boyd, Graham ",,R,897,2.12%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
20,NC,North Carolina,03,H0NC03339,,Paul ,Beaumont,"Beaumont, Paul ",,R,805,1.90%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
