2020 GENERAL ELECTION VOTES CAST BY PARTY,,,,,
"(U.S. President, U.S. Senate and U.S. House Races Combined)",,,,,
,,,,,
State,Democratic Candidates,Republican Candidates,Other Candidates,,
AL,"2,378,911","4,249,258","63,217",,
AK,"459,702","573,189","34,391",,
AS,"1,959","9,790",0,,
AZ,"5,017,928","4,937,863","55,101",,
AR,"754,417","2,382,784","454,525",,
CA,"22,194,873","11,647,185","384,223",,
CO,"5,214,518","4,172,347","270,888",,
CT,"2,103,623","1,391,367","101,794",,
DE,"869,454","583,049","31,048",,
DC,"599,154","18,586","53,203",,
FL,"10,239,332","11,137,895","155,020",,
GA,"14,178,589","14,251,807","289,574",,
GU,"40,192","5,932",55,,
HI,"720,892","352,079","28,033",,
ID,"828,416","1,653,970","95,284",,
IL,"10,106,332","7,183,690","589,442",,
IN,"2,437,399","3,468,602","123,653",,
IA,"2,276,191","2,622,087","172,147",,
KS,"1,699,111","2,275,266","58,054",,
KY,"2,324,150","3,923,925","139,645",,
LA,"2,314,425","3,846,628","159,460",,
ME,"1,251,273","1,118,618","78,015",,
MD,"3,897,763","2,004,564","88,873",,
MA,"7,222,607","3,043,968","255,621",,
MI,"8,227,135","7,909,966","305,061",,
MN,"4,837,972","4,357,030","490,234",,
MS,"1,539,103","2,273,107","40,749",,
MO,"2,425,149","3,444,468","129,766",,
MT,"779,589","1,015,945","15,286",,
NE,"927,792","1,725,587","174,314",,
NV,"1,369,012","1,303,717","88,254",,
NH,"1,289,610","1,045,934","53,677",,
NJ,"7,688,826","5,543,492","190,702",,
NM,"1,471,878","1,228,163","44,845",,
NY,"9,973,499","5,948,788","921,660",,
NC,"7,914,792","8,055,709","354,500",,
ND,"213,131","481,145","23,547",,
MP,0,0,"11,449",,
OH,"5,130,665","6,402,721","145,356",,
OK,"1,489,384","3,043,595","135,464",,
OR,"3,946,769","2,838,048","218,942",,
PA,"6,804,941","6,810,269","109,641",,
PR,0,0,"1,246,092",,
RI,"948,696","474,671","77,069",,
SC,"3,279,168","4,166,924","87,783",,
SD,"294,458","859,259","86,843",,
TN,"3,289,939","5,378,656","186,761",,
TX,"15,044,563","17,780,042","728,117",,
UT,"1,066,228","1,738,487","115,806",,
VT,"481,653","208,534","32,081",,
VI,"13,620",0,"1,867",,
VA,"7,134,042","5,944,264","144,967",,
WA,"4,709,968","3,130,087","191,809",,
WV,"693,196","1,607,104","13,365",,
WI,"3,197,537","3,271,583","66,972",,
WY,"213,833","577,391","28,299",,
Total:   ,"205,527,359","195,419,135","10,142,544",,
,50.00%,47.54%,2.47%,,
,,,,,
,,,,,
,,,,,
,,,,,
Notes on Charts,,,,,
,,,,,
"*  For states that had votes for both full and unexpired terms, the votes for both terms are included in the totals.  This applies to Georgia (U.S. Senate).",,,,,
,,,,,
"*  For states that had votes for both full and unexpired terms, the votes for both terms are included in the totals.  This applies to Georgia (U.S. Senate).",,,,,
,,,,,
The following three situations account for blank spaces in the charts and should be considered when making comparisons or drawing conclusions about the vote totals.,,,,,
,,,,,
"*  In some states, i.e., Connecticut, Utah and Virginia, political parties may nominate general election candidates by party convention, rather than by primary election.",,,,,
,,,,,
"*  In some states, there were unopposed candidates whose names did not appear on a ballot and therefore received no votes.",,,,,
,,,,,
*  33 states had regularly scheduled U.S. Senate elections in 2020.,,,,,
